ORIGINAL_TITLE|TITLE|ID|PRODUCTION|YEAR|RUNTIME|GENERES|RATING|N_VOTES|DIRECTOR|WRITERS|ACTORS
Deep Water|Acque profonde|tt2180339|['US']|2022|116|['Thriller', 'Drama']|5.4|18124.0|['Adrian Lyne']|['Zach Helm', 'Sam Levinson', 'Patricia Highsmith']|['Ben Affleck', 'Ana de Armas', 'Tracy Letts', 'Grace Jenkins', 'Dash Mihok', 'Rachel Blanchard', 'Kristen Connolly', 'Jacob Elordi', 'Lil Rel Howery', 'Brendan Miller', 'Jade Fernandez', 'Finn Wittrock', 'Michael Braun', 'Devyn A. Tyler', 'Michael Scialabba', 'Jeff Pope', 'Paul Teal', 'Juliet Brett', 'Damon Lipari', 'Jaren Mitchell', 'Sam Malone', 'Armando Leduc', 'Shauna Rappold', 'Martinez', 'Krystal Tomlin', 'Jason Edwards', 'Sefenech Henok', 'Anna Bruno', 'Tiffany Christy', 'Joanna Connor', 'Maddison Marx', 'Goldie Lowe', 'Darius Lindsley', 'Dave Bass', 'William Buster Benefield', 'Giovanni Cohea', 'Sheenan Cole', 'Kelly Connolly', 'Marlon Hayes', 'Gregory Hobson', 'Elton LeBlanc', 'Krystal Magee', 'Andrew Penrow', 'Anne Speed', 'Victoria Paige Watkins', 'Calvin Williams']
I cassamortari|I cassamortari|tt12580324|['IT', 'ES']|2022|102|['Comedy']|||['Claudio Amendola']|['Francesca Neri', 'Roberto Iannone', 'Kissy Dugan', 'Claudio Amendola', 'Luigi Di Capua']|['Claudio Amendola', 'Sonia Bergamasco', 'Alessandro Sperduti', 'Edoardo Leo', 'Gianmarco Tognazzi', 'Massimo Ghini', 'Lucia Ocone', 'Emanuel Caserio', 'Alessandro Benvenuti', 'Antonello Fassari', 'Massimo Dapporto', 'Piero Pelù', 'Simone Mariani']
Hotel Transylvania: Transformania|Hotel Transylvania - Uno scambio mostruoso|tt9848626|['US']|2022|87|['Comedy', 'Action', 'Animation', 'Family', 'Fantasy', 'Romance', 'Horror']|6.0|24217.0|['Derek Drymon', 'Jennifer Kluska']|['Amos Vernon', 'Nunzio Randazzo', 'Genndy Tartakovsky', 'Todd Durham']|['Andy Samberg', 'Selena Gomez', 'Kathryn Hahn', 'Jim Gaffigan', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key', 'Brian Hull', 'Fran Drescher', 'Brad Abrell', 'Asher Blinkoff', 'Zoe Berri', 'Tyler Blevins', 'Genndy Tartakovsky', 'Asher Bishop', 'Jennifer Kluska', 'Victoria Gomez', 'Derek Drymon', 'Aaron LaPlante', 'Melissa Sturm', 'Chloé Malaisé', 'Scott Underwood', 'Michelle Murdocca', 'Will Townsend', 'David Berón', 'Natalia Castellanos', 'Todd Haberkorn', 'Jess Harnell', 'Marabina Jaimes', 'Lex Lang', 'Caitlin McKenna', 'David Michie', 'Diego Osorio', 'Juan Pacheco', 'Jacqueline Pinol', 'Ben Pronsky', 'Michelle Ruff', 'Fred Tatasciore', 'Amanda Troop', 'Debra Wilson', 'Michael-Leon Wooley']
I Want You Back|I Want You Back|tt6462958|['US']|2022|117|['Romance', 'Comedy', 'Family']|6.6|12058.0|['Jason Orley']|['Isaac Aptaker', 'Elizabeth Berger']|['Charlie Day', 'Jenny Slate', 'Scott Eastwood', 'Gina Rodriguez', 'Manny Jacinto', 'Clark Backo', 'Luke David Blumm', 'Giselle Torres', 'Isabel May', 'Quinn Cooke', 'Pete Davidson', 'Claudia Rocafort', 'Jami Gertz', 'Kysen Acevedo', 'Lauren Halperin', 'Betsy Sligh', 'Braxton Alexander', 'Thy Bui', 'Jordan Carlos', 'Mason Gooding', 'Saya Watkins', 'Marco Schittone', 'Franco Castan', 'Dylan Gelula', 'Jessi Goei', 'Ben McKenzie', 'Manny Magnus', 'Lynne Ashe', 'Polly Craig', 'Dax Dupuy', 'Yanni Kitas', 'Spencer Murrill', 'Kenneth Rouché', 'Austin Seifert', 'Julian Williams', 'Marcia Adams', 'Aleks Alifirenko Jr.', 'Chloe Asbell', 'Elizabeth Carlile', 'Christopher Cocke', 'Abby Colville', 'Liam Colville', 'DaeSun Cupid', 'Linda D Gaines', 'Ava Ann Gale', 'Daniel Garcia', 'Grant Henley', 'Tyrell Hill', 'Myrom Kingery', 'Jeannie Ledford', 'Christie McLendon', 'Kerstyn Murray', 'Babatunde Oyewo', 'Josh Royston', 'Juan Szilagyi', 'Rachel Trautmann', 'Niquitta S. Wolfe']
Lucy and Desi|Lucy and Desi|tt12971802|['US']|2022|103|['Documentation']|7.9|50.0|['Amy Poehler']|['Mark Monroe']|['Lucie Arnaz', 'Bette Midler', 'Carol Burnett', 'Laura Laplaca', 'Eduardo Machado', 'Charo', 'Journey Gunderson', 'Gregg Oppenheimer', 'David Daniels', 'Norman Lear', 'Desi Arnaz Jr.', 'Desi Arnaz', 'Lucille Ball', 'Michele Spitz', 'Michael Stern']
எப்.ஐ.ஆர்|F.I.R|tt11468258|['IN']|2022|156|['Thriller', 'Action']|8.1|549.0|['Manu Anand']|['Divyanka']|['Vishnu Vishal', 'Manjima Mohan', 'Gautham Vasudev Menon', 'Reba Monica John', 'Maala Parvathi', 'Raiza Wilson', 'Gaurav Narayanan', 'Amaan', 'Bharath', 'Rakesh Brahmanandan', 'Ram C.', 'Madhan Chandar', 'Chandru', 'Dayalan', 'Bala Ganesh', 'Abishek Joseph George', 'Gireesh', 'Jaseel', 'Jatin', 'Praveen K.', 'Vinod Kailash', 'Jayaditya Kang', 'Kannan', 'Dinesh Kannan', 'Malar Kannan', 'Mohana Kannan', 'Ajith Koshy', 'Kumar', 'Ajith Kumar', 'Manish Kumar', 'Kumaran', 'Iftekhar Mahmud', 'Rnr Mahonar', 'Manjunath', 'Morris', 'Praveen Muthurangan', 'Suriya Narayanan', 'Jaguar Nathan', 'Nixon', 'Parameshwaran', 'Prabhakar', 'Hari Prasad', 'Prashanth', 'Priyanka', 'Kadugu Ramamurthy', 'Riyaz', 'Sachin', 'Sai', 'Sameer', 'Saravanan', 'Saroja', 'Akash Durai Sayi', 'Sai Senthil', 'Shiva', 'Shyam', 'Sridhar', 'Sujatha', 'Avadi Suresh', 'Swaksha', 'Vicky', 'Arul Vincent', 'Vivek', 'Yogiram']
Master|La specialista|tt11286210|['US']|2022|99|['Thriller', 'Horror', 'Drama']|4.8|2271.0|['Mariama Diallo']|['Mariama Diallo']|['Regina Hall', 'Zoe Renee', 'Julia Nightingale', 'Talia Ryder', 'Ella Hunt', 'Noa Fisher', 'Anna Van Patten', 'D.C. Anderson', 'Angela Grovey', 'Will Hochman', 'John Kroft', 'Amber Gray', 'Bruce Altman', 'Talia Balsam', 'Kara Young', 'Emmett Carnahan', 'Megan Byrne', 'Orlagh Cassidy', 'Robert Emmet Lunney', 'Joel de la Fuente', 'Jennifer Dundas', 'Ty Molbak', 'Paige Rhea Allison', 'John Way', 'Edelen McWilliams', 'Tim Barker', 'Karin Calabro', 'Cate Smit', 'Tommy Bo', 'Paola Sanchez Abreu', 'Armand Schultz', 'Shannon Dorsey', 'Ian Bedford', 'Beth Dixon', 'Okwui Okpokwasili', 'Vin Knight', 'Mary Catherine Wright', 'Larry Bull', 'Emma Copp', 'Jasmine Hope Bloch', 'Keelia Clarkson', 'Izabel Dorst', 'Rich Dubin', 'Kerry Flanagan', 'Leslie Fray', 'Kathryn Grace', 'David E. Jenkins Jr.', 'Tess Kondratiev', 'Marsin Mogielski', 'Raina Pellinger', 'Vincent Yacovelli']
The Weeknd x Dawn FM Experience|L'esperienza The Weeknd x Dawn FM|tt18309940|['US']|2022|34|['Music']|||['Micah Bickham']|['Micah Bickham', 'Lamar C. Taylor', 'The Weeknd']|['The Weeknd', 'Daniel Lopatin', 'Maria Arroyo', 'Jim Carrey', 'Andrew C. Carson']
Biffy Clyro: Cultural Sons of Scotland|Biffy Clyro: Cultural Sons of Scotland|tt18286510||2022|66|['Music', 'Documentation']|8.5|17.0|['Jack Lowe']||['Ben Johnston', 'James Jonhston', 'Simon Neil']
Tre sorelle|Tre sorelle|tt16436694|['IT']|2022|92|['Comedy']|3.8|62.0|['Enrico Vanzina']||"['Serena Autieri', 'Giulia Bevilacqua', 'Chiara Francini', 'Rocío Muñoz', 'Fabio Troiano', 'Luca Ward', 'Massimiliano Rosolino', 'Robert Steiner', 'Augusto Fornari', 'Vincenzo Sebastiani', 'Carolina Signore', ""Danilo D'Agostino"", 'Nadia Rinaldi', 'Eleonora Pedron', 'Maria Amato', 'Michele Barbuscia', 'Sofia Bartoli', 'Fabio Bongini', 'Maria Cacchiarelli', 'Enrico Maria Calamante', 'Piergiorgio Filippi', 'Massimo Fradelloni', 'Chiara Giacometti', 'Harmail Kumar', 'Tiziano Lepone', 'Ester Perfetti', 'Romeo Alex Perrone', 'Giulio Schiffer']"
